,Weight
平鎮區,0.5501718934994306
中壢區,0.42304196287393225
新屋區,0.026785955792091122
龜山區,6.10502444149714e-08
大溪區,5.5638053018989524e-08
龍潭區,3.593306560835517e-08
楊梅區,2.2790452841573343e-08
觀音區,7.465805919782367e-09
復興區,4.882733560055505e-09
